Stock,BY,Female #,Age,Reproductive Effort,Estimated Fecundity ,L95%,U95%,Green egg avg weight,Comments
Lower Gorge,2011,F-27,4,12.9,1567,1575,1559,0.3250,
Lower Gorge,2011,F-28,4,15.5,2375,2393,2357,0.2540,
Lower Gorge,2011,F-29,4,14.4,1539,1557,1521,0.2820,
Lower Gorge,2011,F-30,4,15.4,2087,2126,2048,0.3270,
Lower Gorge,2011,F-31,4,16.4,2595,2624,2566,0.2720,
Lower Gorge,2011,F-32,3,18.5,2176,2201,2151,0.2590,
Lower Gorge,2011,F-33,5,17.2,2941,2963,2919,0.3190,
I-205,2011,F-1,4,9.5,1443,1447,1439,0.2950,
I-205,2011,F-2,4,16.3,2588,2632,2544,0.3050,
I-205,2011,F-3,4,16.7,2514,2553,2475,0.3310,
I-205,2011,F-4,4,17.1,1704,1792,1616,0.3720,
I-205,2011,F-5,4,12.7,2095,2121,2069,0.3360,
I-205,2011,F-6,4,20.7,2877,2896,2858,0.3440,
I-205,2011,F-7,4,13.7,1877,1896,1858,0.2780,
I-205,2011,F-8,4,9.0,1029,1041,1017,0.3000,
I-205,2011,F-9,4,14.9,2366,2422,2310,0.3160,
I-205,2011,F-10,4,18.3,3887,3910,3864,0.2740,
I-205,2011,F-11,4,12.6,2154,2184,2124,0.2990,
I-205,2011,F-12,4,2.5,2305,2339,2271,0.2780,
I-205,2011,F-13,4,13.2,2178,2219,2137,0.3160,
I-205,2011,F-14,4,9.7,1226,1236,1216,0.2960,
I-205,2011,F-15,4,16.5,2314,2325,2303,0.2780,
I-205,2011,F-16,4,16.7,3049,3077,3021,0.3230,
I-205,2011,F-17,4,17.0,2353,2387,2319,0.3000,
I-205,2011,F-18,4,16.2,1825,1839,1811,0.2470,
I-205,2011,F-19,4,10.4,1459,1469,1449,0.2950,
I-205,2011,F-20,4,16.2,1942,1951,1933,0.2690,
I-205,2011,F-21,4,17.2,2377,2465,2289,0.2990,
I-205,2011,F-22,4,NA,NA,NA,NA,NA,died in tube
I-205,2011,F-23,4,8.9,1287,1296,1278,0.3240,
I-205,2011,F-24,4,9.3,1572,1603,1541,0.3130,
I-205,2011,F-25,4,15.1,2264,2278,2250,0.2570,
I-205,2011,F-26,4,17.8,2724,2782,2666,0.2840,
I-205,2011,F-27,4,15.1,2644,2677,2611,0.3190,
I-205,2011,F-28,4,7.4,835,875,795,0.2790,
I-205,2011,F-29,4,13.5,1460,1559,1361,0.2890,
I-205,2011,F-30,4,11.6,1615,1622,1608,0.3150,
I-205,2011,F-31,3,11.1,1788,1827,1749,0.2470,
I-205,2011,F-32,4,11.2,1804,1822,1786,0.2890,
I-205,2011,F-33,4,17.0,2417,2435,2399,0.3220,
I-205,2011,F-34,4,14.7,2179,2229,2129,0.2620,
I-205,2011,F-35,4,12.4,1732,1754,1710,0.2980,
