Species,LifeStage,Return.Yr.,Strata,Location.Reach,Disposition,Origin,Sex,Age,Count
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Hatchery,Duncan_Channel,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Female,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Female,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Female,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Female,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Female,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Natural_spawner,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Lewis_Hatchery,Male,Age-6,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Male,Age-2,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Male,Age-3,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Male,Age-4,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Male,Age-5,0
Chum,Adult,2021,Gorge,St_Cloud,Duncan_Channel,Duncan_Channel,Male,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Female,Age-3,173
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Female,Age-4,36
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Female,Age-5,4
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Natural_spawner,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Female,Age-4,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Female,Age-5,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Duncan_Hatchery,Female,Age-6,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Female,Age-2,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Female,Age-3,0
Chum,Adult,2021,Gorge,Duncan_Creek,Duncan_Channel,Lewis_Hatchery,Female,Age-4,0
